기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2022.1/4	합계	합계	4,451,444	9,732,617	4,716,704	5,015,913	9,506,778	4,613,910	4,892,868	225,839	102,794	123,045	2.14	1,628,980
2022.1/4	종로구	소계	73,766	153,684	74,018	79,666	144,275	69,911	74,364	9,409	4,107	5,302	1.96	28,064
2022.1/4	종로구	사직동	4,679	9,630	4,335	5,295	9,370	4,189	5,181	260	146	114	2	1,787
2022.1/4	종로구	삼청동	1,227	2,741	1,312	1,429	2,441	1,168	1,273	300	144	156	1.99	635
2022.1/4	종로구	부암동	4,242	9,702	4,654	5,048	9,488	4,530	4,958	214	124	90	2.24	1,811
2022.1/4	종로구	평창동	7,493	18,272	8,518	9,754	18,087	8,427	9,660	185	91	94	2.41	3,472
2022.1/4	종로구	무악동	3,071	8,245	3,823	4,422	8,210	3,809	4,401	35	14	21	2.67	1,453
2022.1/4	종로구	교남동	4,444	10,148	4,671	5,477	9,989	4,588	5,401	159	83	76	2.25	1,644
2022.1/4	종로구	가회동	1,987	4,152	1,915	2,237	4,045	1,863	2,182	107	52	55	2.04	865
2022.1/4	종로구	종로1.2.3.4가동	5,291	8,867	5,094	3,773	7,225	4,277	2,948	1,642	817	825	1.37	1,964
2022.1/4	종로구	종로5·6가동	3,407	5,464	2,894	2,570	5,080	2,692	2,388	384	202	182	1.49	1,056
2022.1/4	종로구	이화동	4,350	7,697	3,613	4,084	7,226	3,433	3,793	471	180	291	1.66	1,361
2022.1/4	종로구	창신1동	2,873	5,640	3,006	2,634	4,908	2,638	2,270	732	368	364	1.71	1,255
2022.1/4	종로구	창신2동	4,050	8,984	4,597	4,387	7,866	4,058	3,808	1,118	539	579	1.94	1,788
2022.1/4	종로구	창신3동	2,792	6,668	3,302	3,366	6,513	3,208	3,305	155	94	61	2.33	1,212
2022.1/4	종로구	숭인1동	2,984	6,126	2,913	3,213	5,843	2,806	3,037	283	107	176	1.96	1,193
2022.1/4	종로구	숭인2동	6,363	10,266	5,048	5,218	9,697	4,853	4,844	569	195	374	1.52	1,676
2022.1/4	종로구	청운효자동	5,236	12,100	5,595	6,505	11,904	5,491	6,413	196	104	92	2.27	2,178
2022.1/4	종로구	혜화동	9,277	18,982	8,728	10,254	16,383	7,881	8,502	2,599	847	1,752	1.77	2,714
2022.1/4	중구	소계	63,767	131,450	63,869	67,581	122,173	59,448	62,725	9,277	4,421	4,856	1.92	24,742
2022.1/4	중구	소공동	1,312	3,423	1,739	1,684	2,252	1,077	1,175	1,171	662	509	1.72	305
2022.1/4	중구	회현동	2,715	5,394	2,793	2,601	4,742	2,462	2,280	652	331	321	1.75	1,391
2022.1/4	중구	명동	1,530	3,726	1,654	2,072	2,849	1,236	1,613	877	418	459	1.86	772
2022.1/4	중구	필동	2,493	4,630	2,365	2,265	4,043	2,078	1,965	587	287	300	1.62	919
2022.1/4	중구	장충동	2,806	5,301	2,711	2,590	4,608	2,392	2,216	693	319	374	1.64	868
2022.1/4	중구	광희동	3,405	6,326	3,194	3,132	5,244	2,663	2,581	1,082	531	551	1.54	1,137
2022.1/4	중구	을지로동	1,354	1,932	1,148	784	1,746	1,062	684	186	86	100	1.29	478
2022.1/4	중구	신당5동	5,369	10,640	5,156	5,484	10,303	5,016	5,287	337	140	197	1.92	1,839
2022.1/4	중구	황학동	7,186	13,481	6,364	7,117	12,623	6,005	6,618	858	359	499	1.76	2,065
2022.1/4	중구	중림동	5,673	12,283	6,118	6,165	11,964	5,958	6,006	319	160	159	2.11	2,100
2022.1/4	중구	신당동	4,784	9,116	4,406	4,710	7,698	3,790	3,908	1,418	616	802	1.61	1,491
2022.1/4	중구	다산동	6,916	14,193	6,860	7,333	13,723	6,662	7,061	470	198	272	1.98	2,797
2022.1/4	중구	약수동	7,842	16,847	7,814	9,033	16,638	7,705	8,933	209	109	100	2.12	3,877
2022.1/4	중구	청구동	6,309	13,769	6,544	7,225	13,521	6,423	7,098	248	121	127	2.14	2,779
2022.1/4	중구	동화동	4,073	10,389	5,003	5,386	10,219	4,919	5,300	170	84	86	2.51	1,924
2022.1/4	용산구	소계	111,207	236,518	114,571	121,947	222,169	106,735	115,434	14,349	7,836	6,513	2	39,461
2022.1/4	용산구	후암동	8,472	17,220	8,408	8,812	16,765	8,185	8,580	455	223	232	1.98	3,062
2022.1/4	용산구	용산2가동	5,243	10,779	5,270	5,509	9,399	4,544	4,855	1,380	726	654	1.79	2,057
2022.1/4	용산구	남영동	5,194	7,811	4,700	3,111	7,351	4,466	2,885	460	234	226	1.42	1,575
2022.1/4	용산구	원효로2동	6,048	13,839	6,513	7,326	13,719	6,469	7,250	120	44	76	2.27	2,308
2022.1/4	용산구	효창동	4,407	10,179	4,831	5,348	10,059	4,781	5,278	120	50	70	2.28	1,496
2022.1/4	용산구	용문동	5,400	11,932	5,694	6,238	11,818	5,647	6,171	114	47	67	2.19	2,171
2022.1/4	용산구	이촌1동	9,541	26,447	12,435	14,012	25,750	12,047	13,703	697	388	309	2.7	4,397
2022.1/4	용산구	이촌2동	3,685	8,310	3,883	4,427	8,242	3,856	4,386	68	27	41	2.24	1,796
2022.1/4	용산구	이태원1동	3,604	8,068	4,200	3,868	6,332	3,087	3,245	1,736	1,113	623	1.76	1,392
2022.1/4	용산구	이태원2동	4,923	10,576	4,966	5,610	8,947	4,103	4,844	1,629	863	766	1.82	1,848
2022.1/4	용산구	서빙고동	5,301	13,879	6,659	7,220	12,997	6,212	6,785	882	447	435	2.45	2,159
